"Guid","Amount","CloseDate","Description","ForecastCategoryName","LeadSource","Name","NextStep","Pricebook2Id","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","test_field__c"
00000cd7-e704-4d1b-91bd-21382090de5b,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity jmppn,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0008d3fc-3965-4ae0-b7d7-0bae747144e1,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity xhsnz,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00132c1e-a968-4014-bd50-20d67a6a6373,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity clugv,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
001c2028-993a-4496-ab7a-24e0bd8fd92f,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity kflki,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
001e439f-c19e-46b5-851a-ef60e1398d2c,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity icphl,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
002cab50-e4ba-48ba-bf2d-03a958f02757,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity lhnpi,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
002f72f9-0ea4-4708-8443-7811a109ca72,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity aeslq,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0033458d-85df-4ec8-b35d-c6bdef152228,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity qoyeq,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00350b64-139d-4828-a51a-8ff5213039fe,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity oixwx,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0036dc49-7029-4e99-a00d-5e6c7a9792c8,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity kjvca,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0043a93a-9e47-4060-a2c1-173c181d6fee,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity ljmqj,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0049a38b-4be7-4cf8-8590-10564a523c90,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity ztour,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
009f645e-455d-47d3-b943-5ed347e41991,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity tvkvp,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00be197d-98d2-4fcc-9bec-5095d7e2675c,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity xpzxe,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00c6b38b-b465-45b6-af5b-56e4bbf3d69f,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity clgvi,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00ddd7d3-564c-4da6-95a0-4c592932831d,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity lozai,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00e5a0e9-012a-445c-95d5-ce2ecee8bd99,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity asbaq,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00fc0bdf-ba7a-435b-a057-c3c7729483ee,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity xdpsz,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
